ZCTA5,LANDSQMT,POPULATION
2052,37301542,12024
2053,29895562,12752
2054,31135982,7891
2056,38510383,10981
2061,54233819,10506
2062,26828047,28602
2066,43831891,17656
2067,58720809,17486
2071,2513156,1707
2072,41680231,26999
2081,46419365,18472
2090,28215944,14636
2093,56218838,10955
2108,354836,3825
2109,449654,3771
2110,479769,1733
2111,669967,7383
2113,260829,6915
2114,1164209,11999
2115,1834246,28441
2116,1632629,20628
2118,2850698,26498
2119,4136145,25346
2120,1607730,15181
2121,4520355,25978
2122,5263269,23479
2124,7777026,47783
2125,5523791,33295
2126,5392506,25562
2127,5230991,31799
2128,12561059,40508
2129,3492181,16439
2130,8635553,35401
2131,6714525,29826
2132,11813317,25861
2134,3435273,21503
2135,6824138,42780
2136,11887342,28488
2138,7097709,36314
2139,4031035,36349
2140,2987938,17607
2141,1657355,11910
2142,716170,3141
2143,3981832,24514
2144,2802134,23891
2145,3615157,25439
2148,13063769,59503
2149,8873256,41550
2150,5718794,35124
2151,15190546,51808
2152,5108308,17497
2155,21229511,57964
2163,256727,2582
2169,23235908,55055
2170,5394724,19505
2171,6357853,17711
2176,12117823,26983
2180,15589590,21437
2184,35608882,35744
2186,33697230,27003
2188,9632561,14608
2189,9905564,14559
2190,18436640,16119
2191,5242350,8457
2199,148951,1146
2203,80317,0
2210,2399614,2090
2215,1979040,26125
2301,32204729,61025
2302,23025347,32741
2322,11112284,4356
2324,70749309,26563
2330,96872155,11509
2332,61481268,15059
2333,44570841,13794
2338,41448333,7518
2339,40427614,13879
2341,38991864,10218
2343,18146751,10745
2346,178363551,23106
2347,77093626,10612
2351,25007126,16029
2356,35492978,12564
2357,1246186,1360
2359,56402221,17828
2360,247368929,56271
2364,48321362,12629
2366,2451742,197
2367,38005424,2820
2368,26096452,32158
2370,26704840,17489
2375,37729521,9188
2379,39681845,6916
2382,17974070,14489
2420,17052453,14052
2421,25510908,17342
2445,6740785,20679
2446,3333660,29311
2451,14303526,17426
2452,9580492,14238
2453,9061760,28968
2457,413241,1432
2458,5185782,12131
2459,12962330,19095
2460,3480934,8742
2461,3767371,7059
2462,1369318,1554
2464,1463154,2953
2465,5809240,11710
2466,4638221,8096
2467,12618589,22491
2468,3833292,5273
2472,10440627,32014
2474,7905847,26312
2476,5422176,16532
2478,12035126,24664
2481,14612716,16244
2482,10898492,10306
2492,24675395,19931
2493,43574801,11261
2494,7166369,8955
2532,36913958,12690
2534,5920954,842
2535,63129227,1177
2536,71696166,19583
2537,31330309,6293
2538,11786097,3603
2539,69429046,4067
2540,27746696,8221
2542,79576588,1139
2543,25723427,635
2553,636142,226
2554,101337719,9852
2556,10034104,3115
2557,18660871,4491
2558,3183300,2156
2559,13033944,3376
2561,1591817,539
2562,8673478,2977
2563,34195598,10359
2564,14939825,310
2568,17279816,4000
2571,51545392,10481
2575,64751624,2725
2576,25281005,3754
2584,193854,10
2601,22253040,14089
2630,10386956,1850
2631,56908227,9679
2632,18960855,10742
2633,19564858,3884
2635,14312729,3296
2637,1811366,253
2638,15284718,3207
2639,7165342,2875
2641,5286447,532
2642,35941612,4937
2643,4904568,26
2644,9225733,3955
2645,43109614,9663
2646,7798581,1676
2647,1226877,129
2648,24027628,7301
2649,60208417,14006
2650,3744803,848
2651,181584,16
2652,20714250,1175
2653,31186211,5911
2655,16911218,3518
2657,25047886,2942
2659,5298594,1108
2660,19964838,6261
2663,3658101,173
2664,17964910,9371
2666,32944245,828
2667,48249844,2580
2668,39046863,3278
2669,2314379,285
2670,5407196,1307
2671,5215276,1023
2672,1280228,180
2673,25868405,8402
2675,23386325,6577
2702,43494960,4125
2703,69448027,43593
2713,13095083,52
2715,29662098,3123
2717,45791704,4745
2718,26793703,6655
2719,31947040,15873
2720,28154770,30287
2721,10598682,26290
2723,4136768,14767
2724,4811066,16908
2725,6146870,2631
2726,14313447,15534
2738,36242423,4907
2739,44939290,6045
